date,item,seq,item_title,kind,motion,note,theme,area,url,Vega Pederson,Moyer,Singleton,Brim-Edwards,Jones-Dixon,Meieran,Kafoury,Smith,Jayapal,Beason,Rosenbaum,Stegmann
2026-06-04,R.5,52,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,"Amendment 46. Vice Chair Jones-Dixon moves, Commissioner Brim-Edwards seconds. — Amendment 36 passes.",,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Nay,Yea,Nay,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,53,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,"Commissioner Singleton moves, Commissioner Moyer seconds. — Amendment 48 passes.",,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,54,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,"Amendment 50. Commissioner Brim-Edwards moves, Commissioner Moyer seconds. — Amendment 50 passes.",,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,55,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,"Amendment 51. Commissioner Moyer moves, Commissioner Brim-Edwards seconds. Commissioner Singleton motions to amend, Commissioner Brim-Edwards seconds. — The amendment to the amendment passes.",,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Yea,Nay,Yea,Yea,Nay,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,56,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,Amendment 51 passes as amended.,,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,57,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,"Amendment 52. Commissioner Brim-Edwards moves, Commissioner Singleton seconds. Vice Chair Jones-Dixon moves to amend, Commissioner Brim-Edwards seconds. — The amendment to the amendment passes.",,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,58,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,Amendment 52 passes as amended.,,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,59,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,"Amendment 53. Commissioner Brim-Edwards moves, Commissioner Singleton seconds. — Amendment 53 fails.",,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Nay,Nay,Nay,Yea,Nay,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,60,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,"Amendment 47. Commissioner Singleton moves, no second. Vice Chair Jones-Dixon moves to reconsider Amendment 47, Commissioner Moyer seconds. — The amendment passes.",,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,61,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,"Commissioner Singleton moves to consider the amendments as a package, Vice Chair Jones-Dixon seconds. — The department amendments are approved.",,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,62,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,"Commissioner Singleton moves, Commissioner Moyer seconds. — The Attachment B Appropriation Schedule as amended by Attachment A is approved.",,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-04,R.5,63,"Public Hearing and Consideration of a RESOLUTION Adopting the Fiscal Year 2027 Budget for Multnomah County and Making Appropriations Thereunder, Pursuant to ORS 294.456.",Amendment,"Commissioner Singleton moves to consider Budget Notes Attachment C as a package, Commissioner Moyer seconds. — The Attachment C Budget Notes are approved as amended.",,FY Budget,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3516,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-11,R.6,1,"Second Reading of Ordinance Creating Safe School Zones in Multnomah County, Oregon.",Amendment,"Commissioner Brim-Edwards moves, Commissioner Moyer seconds. Commissioner Singleton moves to amend, Vice Chair Jones-Dixon seconds. — The amendment passes.",,Public Safety,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3518,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-11,R.6,2,"Second Reading of Ordinance Creating Safe School Zones in Multnomah County, Oregon.",Amendment,Chair Vega Pederson passes the gavel to Vice Chair Jones-Dixon and moves to amend. — The amendment passes.,,Public Safety,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3518,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-06-11,R.6,3,"Second Reading of Ordinance Creating Safe School Zones in Multnomah County, Oregon.",Amendment,Vice Chair Jones-Dixon passes the gavel back to Chair Vega Pederson. — The second reading is approved as amended.,,Public Safety,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3518,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-07-02,R.1,1,Adopting a Population Emergency Release Plan for the Department of Community Justice Juvenile Services Division (JSD) Facilities to be Implemented in accordance with ORS § 419A.055 in the event that the maximum capacity of the juvenile detention facility is exceeded.,Amendment,"Vice Chair Jones-Dixon moves, Commissioner Moyer seconds. Commissioner Brim-Edwards moves to amend, Commissioner Moyer seconds. — The amendment is approved.",,Public Safety,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3540,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-07-02,R.1,2,Adopting a Population Emergency Release Plan for the Department of Community Justice Juvenile Services Division (JSD) Facilities to be Implemented in accordance with ORS § 419A.055 in the event that the maximum capacity of the juvenile detention facility is exceeded.,Amendment,"Commissioner Brim-Edwards moves to amend section 3 of the addendum, Commissioner Jones-Dixon seconds. Commissioner Brim-Edwards moves to amend section 3 of the addendum, Commissioner Moyer seconds. — The amendment fails.",,Public Safety,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3540,Nay,Yea,Nay,Yea,Nay,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-07-23,R.3,1,11:00 am Time Certain - Resolution codifying the terms of engagement for the county’s negotiation of an intergovernmental agreement with the City of Portland for an investment in the renovation and maintenance of the Moda Center Arena.,Procedural,"Commissioner Singleton motions to table R.3 (Resolution Affirming the County's Commitment to the Renovation of the Moda Center Arena), Commissioner Brim-Edwards seconds. Chair Vega Pederson calls a special meeting. — The special meeting is approved.",,Economic Development,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3551,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-06,R.1,1,Resolution Affirming the County’s Commitment to the Renovation of the Moda Center Arena.,Amendment,"Commissioner Singleton moves, Vice Chair Jones-Dixon seconds. Vice-Chair Jones-Dixon motions to amend, Commissioner Moyer seconds. — The amendment passes.",,Economic Development,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3554,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-06,R.1,2,Resolution Affirming the County’s Commitment to the Renovation of the Moda Center Arena.,Amendment,"Commissioner Brim-Edwards moves to amend, Commissioner Moyer seconds. — The amendment fails.",,Economic Development,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3554,Yea,Nay,Yea,Nay,Nay,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-06,R.1,3,Resolution Affirming the County’s Commitment to the Renovation of the Moda Center Arena.,Amendment,"Commissioner Brim-Edwards moves to amend, Commissioner Moyer seconds. — The amendment passes.",,Economic Development,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3554,Nay,Yea,Yea,Yea,Nay,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-06,R.1,4,Resolution Affirming the County’s Commitment to the Renovation of the Moda Center Arena.,Amendment,"Commissioner Moyer moves to amend, Commissioner Brim-Edwards seconds. — The amendment fails.",,Economic Development,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3554,Nay,Yea,Nay,Yea,Nay,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-06,R.1,5,Resolution Affirming the County’s Commitment to the Renovation of the Moda Center Arena.,Amendment,"Vice Chair Jones-Dixon moves to reconsider amendment, Commissioner Singleton seconds. — The amendment passes.","The County's minutes list Commissioner Moyer under both AYES and NOS (and say AYES (3) while naming four), so Moyer's vote is left blank.",Economic Development,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3554,Yea,,Yea,Nay,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-06,R.1,6,Resolution Affirming the County’s Commitment to the Renovation of the Moda Center Arena.,Amendment,"Commissioner Singleton moves to amend, Commissioner Moyer seconds. Commissioner Moyer proposes friendly amendment, Vice Chair Jones-Dixon seconds. — The friendly amendment passes.",,Economic Development,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3554,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-06,R.1,7,Resolution Affirming the County’s Commitment to the Renovation of the Moda Center Arena.,Amendment,The amendment as amended passes.,,Economic Development,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3554,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-06,R.1,8,Resolution Affirming the County’s Commitment to the Renovation of the Moda Center Arena.,Amendment,"Commissioner Singleton motions to amend the amendment, Vice Chair Jones-Dixon seconds. Commissioner Singleton moves to amend the amendment, Vice Chair Jones-Dixon seconds. — The amendment as amended passes.",,Economic Development,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3554,Yea,Nay,Yea,Nay,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-06,R.1,9,Resolution Affirming the County’s Commitment to the Renovation of the Moda Center Arena.,Amendment,"Commissioner Brim-Edwards moves to amend, Commissioner Moyer seconds. Vice Chair Jones-Dixon passes the gavel to Chair Vega Pederson. — The amendment passes.","The minutes list only the three AYES (Brim-Edwards, Moyer, Singleton); Vice Chair Jones-Dixon's and Chair Vega Pederson's votes aren't recorded, so they're left blank.",Economic Development,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3554,,Yea,Yea,Yea,,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-20,R.2,1,Public Hearing and First Reading of Ordinance Amending MCC Chapter 11.500 - Preschool For All Program Income Tax to Reflect Certain Administrative Code Changes.,Amendment,"Commissioner Singleton moves, Vice Chair Jones-Dixon seconds. Commissioner Singleton moves to amend, Commissioner Moyer seconds. — The amendment passes.",,Early Childhood & Education; Budget & Taxes,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3570,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-27,R.2,1,Public Hearing and Second Reading of Ordinance Amending MCC Chapter 11.500 - Preschool For All Program Income Tax to Reflect Certain Administrative Code Changes.,Amendment,"Commissioner Singleton moves, Vice Chair Jones-Dixon seconds. Commissioner Moyer moves to amend, Commissioner Singleton seconds. — The amendment passes.",,Early Childhood & Education; Budget & Taxes,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3575,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-27,R.4,1,Resolution Adopting the Multnomah County 2026 Climate Justice Plan.,Amendment,"Commissioner Singleton moves, Commissioner Brim-Edwards seconds. Commissioner Moyer moves to amend, Vice-Chair Jones-Dixon seconds. — The amendment passes.",,Environment & Energy,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3575,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-27,R.4,2,Resolution Adopting the Multnomah County 2026 Climate Justice Plan.,Amendment,"Commissioner Brim Edwards moves to amend, Commissioner Moyer seconds. — The amendment passes.",,Environment & Energy,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3575,Yea,Yea,Nay,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
2026-08-27,R.4,3,Resolution Adopting the Multnomah County 2026 Climate Justice Plan.,Procedural,"Commissioner Singleton moves to consider an item under unanimous consent, Commissioner Moyer seconds. — Consideration of the matter is approved.",,Environment & Energy,Countywide,https://multnomah.granicus.com/AgendaViewer.php?view_id=3&clip_id=3575,Yea,Yea,Yea,Yea,Yea,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office,Not in office
